"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDFG","WSFG"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-01",,,,," 0412","0.00","0.0","0.0","28","19",,"  270","33.3"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-02",,,,," 0000","0.00","0.0","0.0","32","14",,"  270","19.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-03",,,,," 2224","0.66","0.0","0.0","42","21",,"  225","35.6"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-04",,,,," 0030","0.00","0.0","0.0","35","10",,"  225","35.6"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-05",,,,," 0024","0.00","0.0","0.0","16","8",,"  270","20.8"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-06",,,,," 1148","0.00","0.0","0.0","19","6",,"  315","13.9"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-07",,,,," 2242","0.00","0.0","0.0","24","13",,"   90","18.3"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-08",,,,," 0000","0.00","0.0","0.0","27","13",,"   90","15.0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-09",,,,," 1930","0.00","0.0","0.0","15","4",,"  270","21.9"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-10",,,,," 2112","0.00","0.0","0.0","20","0",,"  225","25.3"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-11",,,,," 0000","0.00","0.0","0.0","19","8",,"  225","25.3"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-12",,,,," 2136","0.00","0.0","0.0","28","7",,"  180","23.0"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-13",,,,," 1436","0.00","0.0","0.0","36","20",,"  225","26.4"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-14",,,,," 0506","0.01","0.0","0.0","37","26",,"  225","19.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-15",,,,," 0306","0.00","0.0","0.0","36","31",,"  315","20.8"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-16",,,,," 1236","0.00","0.0","0.0","50","33",,"  180","27.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-17",,,,," 2112","0.00","0.0","0.0","56","42",,"  225","25.3"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-18",,,,," 1942","0.22","0.0","0.0","56","47",,"  180","27.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-19",,,,," 0212","0.01","0.0","0.0","47","28",,"  225","27.5"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1973-01-20",,,,," 0706","0.00","0.0","0.0","32","22",,"   45","20.8"
