"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-01",," 1342","0.00","0.0","0.0",,"80","70","   90","19.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-02",," 1224","0.00","0.0","0.0",,"82","70","   90","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-03",," 1048","0.00","0.0","0.0",,"81","75","   90","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-04",," 1442","0.00","0.0","0.0",,"81","75","  135","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-05",," 1424","0.00","0.0","0.0",,"81","68","  135","15.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-06",," 1400","0.00","0.0","0.0",,"84","68","   90","10.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-07",," 1342","0.00","0.0","0.0",,"82","66","  135","12.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-08",," 1206","0.00","0.0","0.0",,"82","66","  180","20.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-09",," 1342","0.00","0.0","0.0",,"77","64","  360","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-10",," 1542","0.00","0.0","0.0",,"80","62","  135","11.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-11",," 0530","2.40","0.0","0.0",,"75","69","  270","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-12",," 2212","0.32","0.0","0.0",,"70","53","  315","28.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-13",," 1330","0.00","0.0","0.0",,"61","46","  315","27.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-14",," 1336","0.00","0.0","0.0",,"72","45","  315","18.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-15",," 0936","0.00","0.0","0.0",,"67","51","  360","18.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-16",," 1500","0.00","0.0","0.0",,"75","57","   45","20.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-17",," 1236","0.00","0.0","0.0",,"77","69","   90","26.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-18",," 1312","0.25","0.0","0.0",,"77","70","   90","24.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-19",," 1742","0.00","0.0","0.0",,"81","63","  270","17.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-20",," 0412","0.00","0.0","0.0",,"77","61","  315","11.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-21",," 1018","0.00","0.0","0.0",,"79","62","  135","26.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-22",," 1342","0.02","0.0","0.0",,"80","75","  135","26.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-23",," 0200","0.02","0.0","0.0",,"84","73","  180","20.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-24",," 1724","0.35","0.0","0.0",,"79","69","  360","20.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-25",," 1054","0.00","0.0","0.0",,"77","64","   90","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-26",," 1354","0.00","0.0","0.0",,"79","72","  135","28.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-27",," 1412","0.00","0.0","0.0",,"80","72","  135","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-28",," 2112","0.02","0.0","0.0",,"85","60","  315","33.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-29",," 1230","0.03","0.0","0.0",,"71","52","  315","35.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-30",," 0236","0.00","0.0","0.0",,"64","42","  315","21.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-01-31",," 2236","0.00","0.0","0.0",,"76","54","   90","30.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-01",," 1554","0.03","0.0","0.0",,"78","73","   90","31.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-02",," 0236","0.01","0.0","0.0",,"81","75","  135","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-03",," 0600","0.45","0.0","0.0",,"76","57","  315","26.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-04",," 1230","0.00","0.0","0.0",,"73","47","  360","16.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-05",," 1500","0.00","0.0","0.0",,"75","56","   45","18.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-06",," 1336","0.00","0.0","0.0",,"76","59","   90","18.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-07",," 1512","0.00","0.0","0.0",,"75","58","  135","12.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-08",," 1118","0.00","0.0","0.0",,"77","58","  135","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-09",," 2354","0.05","0.0","0.0",,"80","67","  180","30.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-10",," 1312","0.12","0.0","0.0",,"75","48","  270","39.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-11",," 1524","0.00","0.0","0.0",,"59","42","  315","31.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-12",," 1212","0.00","0.0","0.0",,"73","44","   45","23.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973-02-13",," 1630","0.00","0.0","0.0",,"75","57","  135","23.0"
