"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-01",,,"0.01","0.0","0.0",,"61","46",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-02",,,"0.00","0.0","0.0",,"47","35",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-03",,,"0.00","0.0","0.0",,"39","33",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-04",,,"0.56","0.0","0.0",,"53","39",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-05",,,"0.00","0.0","0.0",,"45","37",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-06",,,"0.00","0.0","0.0",,"37","19",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-07",,,"0.00","0.0","0.0",,"25","18",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-08",,,"0.00","0.0","0.0",,"21","15",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-09",,,"0.00","0.0","0.0",,"28","14",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-10",,,"0.00","0.0","0.0",,"33","24",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-11",,,"0.00","0.0","0.0",,"36","26",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-12",,,"0.00","0.0","0.0",,"34","22",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-13",,,"0.00","0.0","0.0",,"36","24",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-14",,,"0.00","0.0","0.0",,"40","26",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-15",,,"0.00","0.0","0.0",,"46","34",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-16",,,"0.00","0.0","0.0",,"48","40",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-17",,,"0.00","0.0","0.0",,"55","38",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-18",,,"0.00","0.0","0.0",,"56","37",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-19",,,"0.30","0.0","0.0",,"55","40",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-20",,,"0.01","0.0","0.0",,"51","30",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-21",,,"0.00","0.0","0.0",,"45","27",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-22",,,"0.16","0.0","0.0",,"55","33",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-01-23",,,"0.00","0.0","0.0",,"52","45",,
