"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-01",," 1554","0.00","0.0","0.0",,"46","24","   45","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-02",," 2330","0.22","0.0","0.0",,"40","27","   90","16.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-03",," 2348","0.83","2.7","0.0",,"41","30","  360","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-04",," 0106","0.00","0.0","0.0",,"30","20","  360","30.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-05",," 1700","0.02","0.0","0.0",,"23","19","  360","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-06",," 0712","0.15","1.8","0.0",,"24","17","   45","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-07",," 2036","0.24","3.5","5.0",,"21","15","  360","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-08",," 1036","0.00","0.0","6.0",,"17","3","  360","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-09",," 1436","0.00","0.0","5.0",,"11","0","  360","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-10",," 2306","0.00","0.0","5.0",,"16","9","  360","16.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-11",," 1042","0.00","0.0","5.0",,"20","3","  360","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-12",," 1624","0.00","0.0","5.0",,"27","-1","  135","24.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-13",," 1206","0.00","0.0","5.0",,"35","15","  180","19.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-14",," 1124","0.00","0.0","3.0",,"48","26","  225","15.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-15",," 1436","0.00","0.0","1.0",,"54","30","  180","12.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-16",," 1412","0.00","0.0","0.0",,"56","35","  225","35.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-17",," 1236","0.00","0.0","0.0",,"66","51","  180","39.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-18",," 0906","0.02","0.0","0.0",,"61","40","  315","38.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-19",," 1224","0.00","0.0","0.0",,"64","33","  180","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-20",," 0012","0.00","0.0","0.0",,"59","46","  180","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-21",," 1436","0.98","0.0","0.0",,"48","35","  315","44.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-22",," 1412","0.00","0.0","0.0",,"44","34","  315","33.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-23",," 0336","0.00","0.0","0.0",,"47","28","  315","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-24",," 0542","0.00","0.0","0.0",,"58","29","  225","15.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-25",," 2312","0.48","0.0","0.0",,"47","33","   45","20.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-26",," 0536","0.24","0.0","0.0",,"46","39","  315","19.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-27",," 1836","0.06","0.3","0.0",,"44","29","  315","51.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-28",," 0100","0.00","0.0","0.0",,"32","23","  360","55.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-29",," 1548","0.00","0.0","0.0",,"41","17","  180","15.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-30",," 1554","0.00","0.0","0.0",,"60","26","  180","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-01-31",," 1218","0.15","0.0","0.0",,"58","44","  180","33.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-01",," 1512","0.01","0.0","0.0",,"47","38","  315","54.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-02",," 1430","0.00","0.0","0.0",,"54","34","  315","44.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-03",," 1324","0.00","0.0","0.0",,"61","28","  225","24.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-04",," 1206","0.00","0.0","0.0",,"68","41","  270","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-05",," 0942","0.00","0.0","0.0",,"63","39","  135","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-06",," 0942","0.00","0.0","0.0",,"42","32","   45","19.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-07",," 2218","0.23","0.0","0.0",,"39","24","  360","40.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-08",," 0148","0.00","0.0","0.0",,"29","19","  360","43.6"
