time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1973-01-01,-2.6,-4.4,0.0,0.3,0.0,108.0,48.3,88.9,1020.0,12.0
1973-01-02,-3.0,-5.0,-0.6,1.0,25.0,131.0,21.6,50.0,1016.6,36.0
1973-01-03,-4.5,-9.4,1.7,0.0,0.0,173.0,10.9,18.4,1015.5,432.0
1973-01-04,-1.6,-6.1,3.9,0.0,0.0,244.0,10.5,24.1,1015.5,456.0
1973-01-05,-0.5,-5.6,5.6,0.0,0.0,344.0,14.0,37.1,1016.9,426.0
1973-01-06,-1.9,-6.1,2.2,0.0,0.0,2.0,11.1,22.3,1017.8,42.0
1973-01-07,0.1,-7.2,6.7,0.0,0.0,240.0,9.3,31.3,1016.7,270.0
1973-01-08,-1.4,-7.2,6.1,0.0,0.0,146.0,8.3,25.9,1020.8,570.0
1973-01-09,-0.3,-3.3,3.3,5.1,0.0,358.0,8.6,20.5,1017.9,0.0
1973-01-10,2.2,-2.2,4.4,1.0,25.0,298.0,17.3,44.3,1014.7,234.0
1973-01-11,-2.6,-6.1,2.2,0.0,0.0,4.0,14.2,29.5,1028.5,552.0
1973-01-12,-2.4,-8.3,5.0,0.0,0.0,349.0,13.6,37.1,1028.7,498.0
1973-01-13,0.6,-6.1,6.7,0.0,0.0,359.0,13.8,33.5,1029.5,600.0
1973-01-14,1.5,-5.0,10.0,0.0,0.0,20.0,13.3,27.7,1030.2,600.0
1973-01-15,1.5,-5.6,9.4,0.0,0.0,350.0,10.9,24.1,1025.8,576.0
1973-01-16,2.3,-4.4,11.7,0.0,0.0,273.0,8.9,18.4,1018.6,552.0
1973-01-17,2.6,-1.1,7.2,0.0,0.0,257.0,16.1,59.0,1012.7,78.0
1973-01-18,1.3,-5.6,8.3,0.0,0.0,148.0,10.5,20.5,1021.4,606.0
1973-01-19,2.3,-3.9,12.8,0.0,0.0,276.0,19.1,74.2,1009.0,282.0
1973-01-20,-1.6,-6.7,3.9,0.0,0.0,331.0,18.6,46.4,1005.0,348.0
1973-01-21,-1.0,-5.0,4.4,0.0,0.0,9.0,17.4,40.7,1006.6,552.0
1973-01-22,-1.5,-3.9,2.2,0.0,0.0,17.0,14.7,35.3,1015.4,138.0
1973-01-23,-2.2,-6.7,4.4,0.0,0.0,14.0,18.2,33.5,1026.0,618.0
1973-01-24,-1.0,-7.2,7.8,0.0,0.0,12.0,15.9,33.5,1025.2,618.0
1973-01-25,0.7,-7.2,10.0,0.0,0.0,16.0,11.8,29.5,1019.1,618.0
1973-01-26,-0.9,-6.7,9.4,1.3,0.0,318.0,13.1,63.0,1010.5,384.0
1973-01-27,-1.1,-4.4,4.4,0.0,25.0,8.0,19.2,42.5,1021.6,600.0
1973-01-28,-2.4,-10.0,6.1,0.0,0.0,5.0,9.8,24.1,1035.1,624.0
1973-01-29,-2.0,-8.3,5.6,0.0,0.0,352.0,10.3,24.1,1028.0,72.0
1973-01-30,-1.0,-8.9,5.6,0.0,0.0,51.0,10.4,27.7,1014.5,192.0
1973-01-31,-0.2,-3.3,3.9,13.0,51.0,5.0,18.0,50.0,1004.3,390.0
1973-02-01,-1.6,-5.0,2.8,0.3,51.0,51.0,13.7,31.3,1018.1,546.0
1973-02-02,-2.0,-10.0,5.0,0.0,51.0,10.0,11.1,25.9,1027.2,618.0
1973-02-03,-1.2,-7.8,6.7,0.0,0.0,52.0,11.6,29.5,1025.4,330.0
1973-02-04,4.2,-2.8,12.8,0.0,0.0,73.0,9.2,20.5,1021.0,546.0
1973-02-05,4.9,-1.1,12.8,0.0,0.0,342.0,11.4,24.1,1020.5,558.0
1973-02-06,3.1,-1.1,9.4,3.6,0.0,86.0,10.0,25.9,1019.9,30.0
1973-02-07,4.3,-1.1,8.9,0.0,0.0,15.0,15.4,68.4,1016.2,0.0
1973-02-08,-4.5,-6.7,-1.1,0.0,0.0,107.0,40.6,76.0,1023.6,0.0
1973-02-09,-4.5,-7.2,-0.6,0.0,0.0,292.0,9.8,22.3,1026.5,72.0
