time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1973-01-01,24.3,21.1,26.7,0.0,0.0,103.0,11.2,31.3,1019.0,
1973-01-02,24.7,21.1,27.8,0.0,0.0,98.0,9.6,35.3,1019.6,
1973-01-03,25.3,23.9,27.2,0.0,0.0,100.0,15.9,37.1,1020.5,
1973-01-04,25.6,23.9,27.2,0.0,0.0,119.0,11.0,24.1,1020.2,
1973-01-05,23.8,20.0,27.2,0.0,0.0,,6.5,24.1,1019.2,
1973-01-06,23.5,20.0,28.9,0.0,0.0,235.0,5.5,16.6,1019.1,
1973-01-07,23.1,18.9,27.8,0.0,0.0,183.0,6.7,20.5,1019.0,
1973-01-08,23.7,18.9,27.8,0.0,0.0,,8.4,33.5,1017.8,
1973-01-09,21.4,17.8,25.0,0.0,0.0,,9.4,25.9,1018.6,
1973-01-10,20.7,16.7,26.7,0.0,0.0,,7.4,18.4,1016.3,
1973-01-11,22.0,20.6,23.9,61.0,0.0,262.0,6.6,37.1,1011.9,
1973-01-12,16.9,11.7,21.1,8.1,0.0,311.0,15.5,46.4,1012.5,
1973-01-13,11.6,7.8,16.1,0.0,0.0,317.0,18.0,44.3,1023.4,
1973-01-14,14.1,7.2,22.2,0.0,0.0,327.0,12.1,29.5,1025.5,
1973-01-15,15.4,10.6,19.4,0.0,0.0,328.0,11.6,29.5,1024.6,
1973-01-16,19.0,13.9,23.9,0.0,0.0,19.0,11.9,33.5,1024.3,
1973-01-17,22.9,20.6,25.0,0.0,0.0,67.0,16.6,42.5,1022.8,
1973-01-18,22.9,21.1,25.0,6.4,0.0,63.0,11.3,38.9,1019.0,
1973-01-19,21.9,17.2,27.2,0.0,0.0,,6.6,27.7,1016.1,
1973-01-20,20.0,16.1,25.0,0.0,0.0,,6.0,18.4,1015.8,
1973-01-21,22.1,16.7,26.1,0.0,0.0,,14.6,42.5,1014.6,
1973-01-22,25.1,23.9,26.7,0.5,0.0,146.0,14.1,42.5,1015.0,
1973-01-23,25.6,22.8,28.9,0.5,0.0,144.0,8.8,33.5,1016.2,
1973-01-24,22.9,20.6,26.1,8.9,0.0,,6.7,33.5,1016.9,
1973-01-25,22.1,17.8,25.0,0.0,0.0,39.0,16.4,37.1,1019.1,
