EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10081824,BERNALILLO CO., ,05/05/1973,1354,Thunderstorm Wind,54, ,0,0,0,0,NM,CST, , ,C,1, ,0,0, , ,0,0,0, ,0, , ,05/05/1973,1354,35.05,-106.62, , ,"","",1
10081881,BERNALILLO CO., ,06/16/1975,1640,Thunderstorm Wind,57, ,0,0,0,0,NM,CST, , ,C,1, ,0,0, , ,0,0,0, ,0, , ,06/16/1975,1640,35.08,-106.57, , ,"","",2
10080729,BERNALILLO CO., ,10/06/1977,1122,Thunderstorm Wind,50, ,0,0,0,0,NM,CST, , ,C,1,S,0,0, , ,0,0,0, ,0, , ,10/06/1977,1122,35.05,-106.65, , ,"","",3
10080741,BERNALILLO CO., ,06/01/1978,1700,Hail,1.00, ,0,0,0,0,NM,CST, , ,C,1,MT,0,0, , ,0,0,0, ,0, , ,06/01/1978,1700,35.17,-106.38, , ,"","",4
10080754,BERNALILLO CO., ,10/07/1978,2115,Thunderstorm Wind,54, ,0,0,0,0,NM,CST, , ,C,1,S,0,0, , ,0,0,0, ,0, , ,10/07/1978,2115,35.05,-106.60, , ,"","",5
10078449,BERNALILLO CO., ,08/19/1979,1328,Thunderstorm Wind,54, ,0,0,0,0,NM,CST, , ,C,1,S,0,0, , ,0,0,0, ,0, , ,08/19/1979,1328,35.05,-106.60, , ,"","",6
10078465,BERNALILLO CO., ,08/05/1980,1656,Tornado,0,F0,0,0,0,0,NM,CST, , ,C,1, ,0,0, , ,0,33,0, ,0, , ,08/05/1980,1656,35.05,-106.82, , ,"","",7
10078484,BERNALILLO CO., ,08/27/1981,2300,Thunderstorm Wind,55, ,0,0,0,0,NM,CST, , ,C,1,ATA,0,0, , ,0,0,0, ,0, , ,08/27/1981,2300,35.08,-106.57, , ,"","",8
10074730,BERNALILLO CO., ,07/12/1984,1756,Thunderstorm Wind,50, ,0,0,0,0,NM,CST, , ,C,1,S,0,0, , ,0,0,0, ,0, , ,07/12/1984,1756,35.05,-106.60, , ,"","",9
10075808,BERNALILLO CO., ,09/20/1985,1509,Thunderstorm Wind,53, ,0,0,0,0,NM,CST, , ,C,1,S,0,0, , ,0,0,0, ,0, , ,09/20/1985,1509,35.05,-106.60, , ,"","",10
10075809,BERNALILLO CO., ,09/20/1985,1525,Tornado,0,F0,0,0,250000,0,NM,CST, , ,C,1, ,0,0, , ,2,23,0, ,0, , ,09/20/1985,1525,35.08,-106.57, , ,"","",11
10075821,BERNALILLO CO., ,08/10/1986,1900,Thunderstorm Wind,52, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,08/10/1986,1900,35.05,-106.60, , ,"","",12
10075836,BERNALILLO CO., ,04/12/1987,1430,Tornado,0,F0,0,0,25000,0,NM,CST, , ,C,1, ,0,0, , ,.8,50,0, ,0, , ,04/12/1987,1430,34.88,-106.57, , ,"","",13
10075863,BERNALILLO CO., ,06/29/1987,1500,Tornado,0,F0,0,0,2500,0,NM,MST, , ,C,1, ,0,0, , ,.2,20,0, ,0, , ,06/29/1987,1500,35.08,-106.55, , ,"","",14
10076980,BERNALILLO CO., ,07/05/1988,1744,Thunderstorm Wind,50, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,07/05/1988,1744,35.23,-106.57, , ,"","",15
10074794,BERNALILLO CO., ,06/09/1989,1815,Thunderstorm Wind,0, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,06/09/1989,1815,35.08,-106.57, , ,"","",16
10078580,BERNALILLO CO., ,07/13/1990,1750,Hail,.75, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,07/13/1990,1750,35.08,-106.57, , ,"","",17
10078585,BERNALILLO CO., ,07/14/1990,1811,Tornado,0,F0,0,0,0,0,NM,MST, , ,C,1, ,0,0, , ,.2,10,0, ,0, , ,07/14/1990,1811,35.08,-106.57, , ,"","",18
10078586,BERNALILLO CO., ,07/14/1990,1835,Thunderstorm Wind,63, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,07/14/1990,1835,35.08,-106.57, , ,"","",19
10078604,BERNALILLO CO., ,08/12/1990,1610,Hail,.75, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,08/12/1990,1610,35.08,-106.57, , ,"","",20
10078627,BERNALILLO CO., ,05/15/1991,1615,Tornado,0,F0,0,0,0,0,NM,CST, , ,C,1, ,0,0, , ,.2,10,0, ,0, , ,05/15/1991,1615,35.08,-106.57, , ,"","",21
10074533,BERNALILLO CO., ,08/13/1991,1955,Hail,1.75, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,08/13/1991,1955,35.17,-106.25, , ,"","",22
10074534,BERNALILLO CO., ,08/17/1991,1700,Hail,.75, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,08/17/1991,1700,35.05,-106.65, , ,"","",23
10156896,BERNALILLO CO., ,08/02/1992,1740,Hail,.75, ,0,0,0,0,NM,CST, , ,C,1,ABQ,0,0, , ,0,0,0, ,0, , ,08/02/1992,1740,34.98,-106.67, , ,"","",24
