EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10136382,DALLAS CO., ,03/06/1973,634,Thunderstorm Wind,50, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,03/06/1973,634,32.80,-97.00, , ,"","",1
10136396,DALLAS CO., ,03/10/1973,646,Thunderstorm Wind,55, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,03/10/1973,646,32.73,-96.97, , ,"","",2
10132998,DALLAS CO., ,03/24/1973,1705,Thunderstorm Wind,50, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,03/24/1973,1705,32.80,-97.00, , ,"","",3
10133037,DALLAS CO., ,04/15/1973,1730,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,04/15/1973,1730,32.85,-96.85, , ,"","",4
10135056,DALLAS CO., ,05/01/1973,820,Hail,1.00, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,05/01/1973,820,32.95,-96.77, , ,"","",5
10135057,DALLAS CO., ,05/01/1973,1345,Tornado,0,F1,0,0,25000,0,TX,CST, , ,C,113, ,0,0, , ,.3,20,0, ,0, , ,05/01/1973,1345,32.88,-96.77, , ,"","",6
10135058,DALLAS CO., ,05/01/1973,1426,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,05/01/1973,1426,32.70,-96.60, , ,"","",7
10136206,DALLAS CO., ,05/24/1973,1830,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,05/24/1973,1830,32.80,-96.90, , ,"","",8
10136425,DALLAS CO., ,05/25/1973,945,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,05/25/1973,945,32.80,-96.80, , ,"","",9
10136426,DALLAS CO., ,05/25/1973,1015,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,113, ,0,0, , ,0,0,0, ,0, , ,05/25/1973,1015,32.80,-96.90, , ,"","",10
