EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10000541,MIAMI-DADE CO., ,12/20/1973,1315,Tornado,0,F2,0,9,2500000,0,FL,CST, , ,C,86, ,0,0, , ,7.6,33,0, ,0, , ,12/20/1973,1315,25.42,-80.42,25.52,-80.37,"","",1
10000542,MIAMI-DADE CO., ,12/20/1973,1330,Tornado,0,F1,0,0,250000,0,FL,CST, , ,C,86, ,0,0, , ,8.7,17,0, ,0, , ,12/20/1973,1330,25.47,-80.33,25.57,-80.25,"","",2
10001632,MIAMI-DADE CO., ,05/07/1974,1930,Hail,.75, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,05/07/1974,1930,25.47,-80.47, , ,"","",3
10001633,MIAMI-DADE CO., ,05/07/1974,1959,Thunderstorm Wind,50, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,05/07/1974,1959,25.40,-80.38, , ,"","",4
10001634,MIAMI-DADE CO., ,05/08/1974,1140,Hail,.75, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,05/08/1974,1140,25.48,-80.47, , ,"","",5
9998375,MIAMI-DADE CO., ,09/13/1974,1625,Thunderstorm Wind,56, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,09/13/1974,1625,25.38,-80.67, , ,"","",6
9999508,MIAMI-DADE CO., ,05/09/1975,1450,Hail,1.75, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,05/09/1975,1450,25.93,-80.27, , ,"","",7
10000625,MIAMI-DADE CO., ,06/29/1975,1550,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,06/29/1975,1550,25.47,-80.47, , ,"","",8
10000632,MIAMI-DADE CO., ,07/04/1975,1314,Tornado,0,F1,0,1,25000,0,FL,CST, , ,C,86, ,0,0, , ,1,30,0, ,0, , ,07/04/1975,1314,25.68,-80.35, , ,"","",9
10000633,MIAMI-DADE CO., ,07/04/1975,1315,Hail,1.75, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,07/04/1975,1315,25.77,-80.37, , ,"","",10
10001470,MIAMI-DADE CO., ,07/04/1975,1315,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,07/04/1975,1315,25.77,-80.20, , ,"","",11
10001717,MIAMI-DADE CO., ,08/26/1975,1948,Tornado,0,F0,0,0,25000,0,FL,CST, , ,C,86, ,0,0, , ,2,30,0, ,0, , ,08/26/1975,1948,25.80,-80.28, , ,"","",12
10001788,MIAMI-DADE CO., ,08/19/1976,530,Thunderstorm Wind,54, ,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,0,0,0, ,0, , ,08/19/1976,530,24.92,-80.63, , ,"","",13
10001812,MIAMI-DADE CO., ,05/04/1977,1120,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,86,MT,0,0, , ,0,0,0, ,0, , ,05/04/1977,1120,25.80,-80.28, , ,"","",14
10001815,MIAMI-DADE CO., ,05/08/1977,1300,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,86,ONE,0,0, , ,0,0,0, ,0, , ,05/08/1977,1300,25.77,-80.20, , ,"","",15
10001820,MIAMI-DADE CO., ,05/27/1977,1150,Hail,1.75, ,0,0,0,0,FL,CST, , ,C,86,NG,0,0, , ,0,0,0, ,0, , ,05/27/1977,1150,25.77,-80.20, , ,"","",16
9998464,MIAMI-DADE CO., ,06/08/1977,1630,Thunderstorm Wind,52, ,0,0,0,0,FL,CST, , ,C,86,T,0,0, , ,0,0,0, ,0, , ,06/08/1977,1630,25.92,-80.18, , ,"","",17
9998478,MIAMI-DADE CO., ,06/18/1977,1621,Tornado,0,F0,0,0,0,0,FL,CST, , ,C,86, ,0,0, , ,.1,13,0, ,0, , ,06/18/1977,1621,25.63,-80.48, , ,"","",18
9999612,MIAMI-DADE CO., ,01/19/1978,1908,Thunderstorm Wind,62, ,0,0,0,0,FL,CST, , ,C,86,S,0,0, , ,0,0,0, ,0, , ,01/19/1978,1908,25.48,-80.38, , ,"","",19
9999638,MIAMI-DADE CO., ,03/03/1978,1510,Thunderstorm Wind,66, ,0,0,0,0,FL,CST, , ,C,86,T,0,0, , ,0,0,0, ,0, , ,03/03/1978,1510,25.95,-80.15, , ,"","",20
9998952,MIAMI-DADE CO., ,04/23/1978,2110,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,86,NG,0,0, , ,0,0,0, ,0, , ,04/23/1978,2110,25.88,-80.13, , ,"","",21
9998983,MIAMI-DADE CO., ,05/05/1978,330,Thunderstorm Wind,0, ,0,0,0,0,FL,CST, , ,C,86,ATA,0,0, , ,0,0,0, ,0, , ,05/05/1978,330,25.75,-80.25, , ,"","",22
