EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10126488,DAVIDSON CO., ,05/10/1973,1245,Tornado,0,F1,0,0,2500,0,TN,CST, , ,C,37, ,0,0, , ,0,33,0, ,0, , ,05/10/1973,1245,36.25,-86.67, , ,"","",1
10126489,DAVIDSON CO., ,05/10/1973,1245,Hail,1.00, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,05/10/1973,1245,36.03,-86.68, , ,"","",2
10126502,DAVIDSON CO., ,05/19/1973,1230,Hail,1.00, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,05/19/1973,1230,36.12,-86.68, , ,"","",3
10123137,DAVIDSON CO., ,07/10/1973,1400,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,07/10/1973,1400,36.40,-86.50, , ,"","",4
10123144,DAVIDSON CO., ,08/30/1973,1420,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,08/30/1973,1420,36.13,-86.83, , ,"","",5
10124040,DAVIDSON CO., ,04/01/1974,1910,Tornado,0,F2,1,12,2500,0,TN,CST, , ,C,37, ,0,0, , ,10.9,440,0, ,0, , ,04/01/1974,1910,36.12,-86.85,36.20,-86.68,"","",6
10124041,DAVIDSON CO., ,04/01/1974,1915,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,04/01/1974,1915,36.25,-86.77, , ,"","",7
10124042,DAVIDSON CO., ,04/01/1974,1920,Thunderstorm Wind,82, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,04/01/1974,1920,36.13,-86.68, , ,"","",8
10124277,DAVIDSON CO., ,04/03/1974,1609,Hail,.75, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,04/03/1974,1609,36.13,-86.68, , ,"","",9
10124279,DAVIDSON CO., ,04/03/1974,1618,Tornado,0,F2,0,0,2500000,0,TN,CST, , ,C,37, ,0,0, , ,4.7,400,0, ,0, , ,04/03/1974,1618,36.13,-86.73,36.15,-86.65,"","",10
10124292,DAVIDSON CO., ,04/03/1974,1835,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,04/03/1974,1835,36.20,-86.85, , ,"","",11
10127528,DAVIDSON CO., ,01/13/1976,1504,Thunderstorm Wind,57, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,01/13/1976,1504,36.13,-86.68, , ,"","",12
10123030,DAVIDSON CO., ,05/15/1976,1347,Hail,.75, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,05/15/1976,1347,36.13,-86.68, , ,"","",13
10123031,DAVIDSON CO., ,05/15/1976,1400,Hail,.75, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,05/15/1976,1400,36.22,-86.92, , ,"","",14
10126576,DAVIDSON CO., ,07/17/1977,1754,Hail,1.75, ,0,0,0,0,TN,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,07/17/1977,1754,36.13,-86.83, , ,"","",15
10126577,DAVIDSON CO., ,07/17/1977,1754,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,07/17/1977,1754,36.13,-86.83, , ,"","",16
10126637,DAVIDSON CO., ,08/19/1978,1826,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,08/19/1978,1826,36.13,-86.83, , ,"","",17
10125480,DAVIDSON CO., ,07/28/1979,1200,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,07/28/1979,1200,36.32,-86.87, , ,"","",18
10123224,DAVIDSON CO., ,06/10/1981,1500,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,06/10/1981,1500,36.13,-86.68, , ,"","",19
10123225,DAVIDSON CO., ,06/10/1981,1523,Thunderstorm Wind,51, ,0,0,0,0,TN,CST, , ,C,37,S,0,0, , ,0,0,0, ,0, , ,06/10/1981,1523,36.13,-86.68, , ,"","",20
10123235,DAVIDSON CO., ,06/25/1981,1442,Thunderstorm Wind,50, ,0,0,0,0,TN,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,06/25/1981,1442,36.13,-86.68, , ,"","",21
10120367,DAVIDSON CO., ,06/03/1983,2220,Thunderstorm Wind,56, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,06/03/1983,2220,36.13,-86.68, , ,"","",22
10120602,DAVIDSON CO., ,08/11/1983,1719,Thunderstorm Wind,50, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,08/11/1983,1719,36.13,-86.68, , ,"","",23
10120612,DAVIDSON CO., ,08/23/1983,1800,Thunderstorm Wind,52, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,08/23/1983,1800,36.13,-86.68, , ,"","",24
10121719,DAVIDSON CO., ,03/15/1984,2350,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,03/15/1984,2350,36.32,-86.87, , ,"","",25
10121759,DAVIDSON CO., ,04/28/1984,600,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,04/28/1984,600,36.13,-86.83, , ,"","",26
10119522,DAVIDSON CO., ,05/06/1984,1215,Hail,1.75, ,0,0,0,0,TN,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,05/06/1984,1215,36.03,-86.78, , ,"","",27
10119524,DAVIDSON CO., ,05/06/1984,1310,Hail,1.75, ,0,0,0,0,TN,CST, , ,C,37,R O,0,0, , ,0,0,0, ,0, , ,05/06/1984,1310,36.32,-86.87, , ,"","",28
10119548,DAVIDSON CO., ,05/07/1984,200,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,ATA,0,0, , ,0,0,0, ,0, , ,05/07/1984,200,36.13,-86.83, , ,"","",29
10119572,DAVIDSON CO., ,05/07/1984,1400,Thunderstorm Wind,54, ,0,0,0,0,TN,CST, , ,C,37,S,0,0, , ,0,0,0, ,0, , ,05/07/1984,1400,36.13,-86.68, , ,"","",30
10120948,DAVIDSON CO., ,07/04/1984,1455,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,REP,0,0, , ,0,0,0, ,0, , ,07/04/1984,1455,36.23,-86.82, , ,"","",31
10120959,DAVIDSON CO., ,09/03/1984,930,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37, ,0,0, , ,0,0,0, ,0, , ,09/03/1984,930,36.18,-86.62, , ,"","",32
10120980,DAVIDSON CO., ,11/27/1984,1030,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,11/27/1984,1030,36.13,-86.83, , ,"","",33
10123375,DAVIDSON CO., ,05/31/1985,1800,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,05/31/1985,1800,36.32,-86.72, , ,"","",34
10123391,DAVIDSON CO., ,06/04/1985,1610,Hail,4.50, ,0,0,0,0,TN,CST, , ,C,37,LC,0,0, , ,0,0,0, ,0, , ,06/04/1985,1610,36.32,-86.87, , ,"","",35
10123394,DAVIDSON CO., ,06/04/1985,1625,Hail,1.75, ,0,0,0,0,TN,CST, , ,C,37,NG,0,0, , ,0,0,0, ,0, , ,06/04/1985,1625,36.27,-86.80, , ,"","",36
10122424,DAVIDSON CO., ,06/06/1985,1925,Hail,1.75, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,06/06/1985,1925,36.10,-86.75, , ,"","",37
10119081,DAVIDSON CO., ,08/30/1985,1830,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,08/30/1985,1830,36.18,-86.78, , ,"","",38
10119088,DAVIDSON CO., ,11/26/1985,2255,Thunderstorm Wind,52, ,0,0,0,0,TN,CST, , ,C,37,S,0,0, , ,0,0,0, ,0, , ,11/26/1985,2255,36.13,-86.68, , ,"","",39
10119091,DAVIDSON CO., ,11/27/1985,1715,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,AT,0,0, , ,0,0,0, ,0, , ,11/27/1985,1715,36.13,-86.83, , ,"","",40
10120229,DAVIDSON CO., ,07/26/1986,1445,Thunderstorm Wind,87, ,0,0,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,07/26/1986,1445,36.05,-86.83, , ,"","",41
10120467,DAVIDSON CO., ,10/01/1986,1720,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,10/01/1986,1720,36.13,-86.83, , ,"","",42
10120471,DAVIDSON CO., ,03/18/1987,358,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,03/18/1987,358,36.13,-86.83, , ,"","",43
10121348,DAVIDSON CO., ,06/24/1987,1500,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,06/24/1987,1500,36.13,-86.83, , ,"","",44
10121360,DAVIDSON CO., ,07/13/1987,1330,Thunderstorm Wind,0, ,0,1,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,07/13/1987,1330,36.13,-86.83, , ,"","",45
10121576,DAVIDSON CO., ,07/23/1987,1415,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,07/23/1987,1415,36.18,-86.62, , ,"","",46
10121617,DAVIDSON CO., ,05/09/1988,2000,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,05/09/1988,2000,36.28,-86.78, , ,"","",47
10122491,DAVIDSON CO., ,06/26/1988,1515,Thunderstorm Wind,0, ,0,0,0,0,TN,CST, , ,C,37,MEM,0,0, , ,0,0,0, ,0, , ,06/26/1988,1515,36.20,-86.82, , ,"","",48
