EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10075617,NEW YORK CO., ,08/10/1979,1300,Thunderstorm Wind,0, ,0,0,0,0,NY,CST, , ,C,61,PER,0,0, , ,0,0,0, ,0, , ,08/10/1979,1300,40.73,-74.00, , ,"","",1
10077125,NEW YORK CO., ,08/11/1983,1800,Thunderstorm Wind,0, ,0,0,0,0,NY,CST, , ,C,61,AT,0,0, , ,0,0,0, ,0, , ,08/11/1983,1800,40.73,-74.00, , ,"","",2
10076357,NEW YORK CO., ,06/24/1985,1245,Hail,1.00, ,0,0,0,0,NY,CST, , ,C,61,R,0,0, , ,0,0,0, ,0, , ,06/24/1985,1245,40.78,-73.93, , ,"","",3
10077475,NEW YORK CO., ,08/30/1985,1410,Hail,1.00, ,0,0,0,0,NY,CST, , ,C,61,R,0,0, , ,0,0,0, ,0, , ,08/30/1985,1410,40.77,-73.93, , ,"","",4
10076612,NEW YORK CO., ,11/20/1989,2031,Thunderstorm Wind,66, ,0,0,0,0,NY,CST, , ,C,61,NYC,0,0, , ,0,0,0, ,0, , ,11/20/1989,2031,40.78,-73.87, , ,"","",5
10075527,NEW YORK CO., ,08/27/1990,1326,Thunderstorm Wind,53, ,0,0,0,0,NY,CST, , ,C,61,NYC,0,0, , ,0,0,0, ,0, , ,08/27/1990,1326,40.78,-73.87, , ,"","",6
10076700,NEW YORK CO., ,10/18/1990,1800,Thunderstorm Wind,0, ,0,1,0,0,NY,CST, , ,C,61,NYC,0,0, , ,0,0,0, ,0, , ,10/18/1990,1800,40.78,-73.97, , ,"","",7
10336538,NEW YORK CO.,Governors Island,07/28/1995,230,Thunderstorm Wind,51, ,0,0,0,0,NY,EST, , ,C,61, ,0,0, , ,0,0,0, ,0, , ,07/28/1995,230, , , , ,"Thunderstorms produced very strong winds across sections of New York City which downed several trees and power lines. ","",8
10336539,NEW YORK CO., ,08/31/1995,1320,Tornado,0,F0,0,1,30000,0,NY,EST, , ,C,61, ,0,0, , ,.1,10,0, ,0, , ,08/31/1995,1320, , , , ,"  ","",9
10336540,NEW YORK CO.,New York City,10/21/1995,1105,Thunderstorm Wind,0, ,0,0,0,0,NY,EST, , ,C,61, ,0,0, , ,0,0,0, ,0, , ,10/21/1995,1105, , , , ,"  ","",10
5561728,NEW YORK (MANHATTAN) (ZONE), ,01/07/1996,1600,Blizzard, , ,0,0,0,0,NY,EST, ,2040523,Z,72,OKX,0,0, , , , , , , , , ,01/08/1996,1500, , , , ,"","",11
5561753,NEW YORK (MANHATTAN) (ZONE), ,01/07/1996,2200,Coastal Flood, , ,0,0,0,0,NY,EST, ,2040545,Z,72,OKX,0,0, , , , , , , , , ,01/08/1996,1200, , , , ,"","",12
