EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10092299,OKLAHOMA CO., ,03/13/1973,1400,Thunderstorm Wind,80, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,03/13/1973,1400,35.38,-97.35, , ,"","",1
10093487,OKLAHOMA CO., ,06/04/1973,1900,Hail,1.75, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,06/04/1973,1900,35.50,-97.50, , ,"","",2
10093491,OKLAHOMA CO., ,06/04/1973,1930,Thunderstorm Wind,0, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,06/04/1973,1930,35.40,-97.40, , ,"","",3
10094593,OKLAHOMA CO., ,06/16/1973,1520,Thunderstorm Wind,0, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,06/16/1973,1520,35.53,-97.47, , ,"","",4
10094624,OKLAHOMA CO., ,07/10/1973,1830,Thunderstorm Wind,0, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,07/10/1973,1830,35.47,-97.55, , ,"","",5
10094625,OKLAHOMA CO., ,07/10/1973,1830,Thunderstorm Wind,0, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,07/10/1973,1830,35.40,-97.40, , ,"","",6
10094631,OKLAHOMA CO., ,07/20/1973,1945,Thunderstorm Wind,55, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,07/20/1973,1945,35.50,-97.50, , ,"","",7
10094639,OKLAHOMA CO., ,08/10/1973,1515,Thunderstorm Wind,0, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,08/10/1973,1515,35.57,-97.43, , ,"","",8
10094646,OKLAHOMA CO., ,09/03/1973,1900,Hail,1.00, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,09/03/1973,1900,35.57,-97.63, , ,"","",9
10092372,OKLAHOMA CO., ,10/11/1973,115,Tornado,0,F1,0,0,250000,0,OK,CST, , ,C,109, ,0,0, , ,5.2,50,0, ,0, , ,10/11/1973,115,35.35,-97.53,35.38,-97.45,"","",10
10092389,OKLAHOMA CO., ,11/19/1973,2007,Tornado,0,F3,0,0,2500000,0,OK,CST, , ,C,109, ,0,0, , ,3.6,500,0, ,0, , ,11/19/1973,2007,35.38,-97.47,35.43,-97.45,"","",11
10092406,OKLAHOMA CO., ,02/18/1974,1630,Thunderstorm Wind,0, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,02/18/1974,1630,35.57,-97.28, , ,"","",12
10092413,OKLAHOMA CO., ,03/08/1974,1815,Tornado,0,F1,0,1,25000,0,OK,CST, , ,C,109, ,0,0, , ,9,40,0, ,0, , ,03/08/1974,1815,35.50,-97.47,35.55,-97.32,"","",13
10094724,OKLAHOMA CO., ,04/20/1974,1530,Hail,2.00, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,04/20/1974,1530,35.40,-97.60, , ,"","",14
10094725,OKLAHOMA CO., ,04/20/1974,1535,Thunderstorm Wind,57, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,04/20/1974,1535,35.40,-97.60, , ,"","",15
10094726,OKLAHOMA CO., ,04/20/1974,1550,Hail,1.00, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,04/20/1974,1550,35.42,-97.38, , ,"","",16
10093215,OKLAHOMA CO., ,04/20/1974,1600,Tornado,0,F3,0,3,2500000,0,OK,CST, , ,C,109, ,0,0, , ,31.7,100,0, ,0, , ,04/20/1974,1600,35.35,-97.67,35.53,-97.15,"","",17
10093235,OKLAHOMA CO., ,05/21/1974,1830,Hail,1.75, ,0,0,0,0,OK,CST, , ,C,109, ,0,0, , ,0,0,0, ,0, , ,05/21/1974,1830,35.40,-97.40, , ,"","",18
